scheme,label,final_train_loss,final_val_loss,test_loss,test_acc,grad_rms_layer1_init,grad_rms_layer_last_init,gradient_stability
zero,Zero,2.3026966903686525,2.3031796531677244,2.302667001724243,0.09999999988079071,0.0,0.0,Vanishing
random_normal,"Random (small, std=0.01)",2.302696648025513,2.303179738998413,2.3026669311523436,0.09999999988079071,1.1288717260570506e-13,9.068572165364722e-13,Vanishing
random_large,"Random (large, std=1.0)",,,,0.1,18680542.510918837,594677763.5476089,Exploding (NaN)
xavier,Xavier/Glorot,0.47382322702407836,1.6029535655975342,1.5134844832420349,0.682,0.00044122082204248056,0.001404509824847324,Ổn định
he,He/Kaiming,0.3648024143218994,1.5701072282791138,1.5628204336166382,0.6735000004768371,0.011131058706578892,0.09232326189910614,Ổn định
