scheme,activation,final_train_loss,final_val_loss,final_val_acc,test_loss,test_acc,initial_grad_rms_layer1,initial_grad_rms_layer6
zero,sigmoid,2.309038902282715,2.315214382171631,0.09400000035762787,2.3135338592529298,0.09999999988079071,0.0,0.0
zero,tanh,2.3026966903686525,2.3031796531677244,0.09400000035762787,2.302667001724243,0.09999999988079071,0.0,0.0
zero,relu,2.3026966903686525,2.3031796531677244,0.09400000035762787,2.302667001724243,0.09999999988079071,0.0,0.0
zero,leaky_relu,2.3026966903686525,2.3031796531677244,0.09400000035762787,2.302667001724243,0.09999999988079071,0.0,0.0
random_normal,sigmoid,2.3090124851226808,2.315118627548218,0.09400000035762787,2.3134401054382323,0.09999999988079071,7.134188216569737e-12,8.84264154592529e-05
random_normal,tanh,2.302699094772339,2.3031794910430907,0.09400000035762787,2.3026677703857423,0.09999999988079071,2.8256025560831188e-08,6.744256353385936e-08
random_normal,relu,2.302696660232544,2.3031796226501466,0.09400000035762787,2.3026669311523436,0.09999999988079071,2.780886035757184e-09,6.350302950153264e-09
random_normal,leaky_relu,2.302696647644043,2.3031796836853027,0.09400000035762787,2.302667007446289,0.09999999988079071,2.7791323770601876e-09,6.3501586211600625e-09
lecun,sigmoid,2.309499774932861,2.3169677753448488,0.09400000035762787,2.3153332729339597,0.09999999988079071,2.468079656834046e-06,0.0011769511038437486
lecun,tanh,0.3492518725395203,1.1157588844299315,0.6930000028610229,1.0982738714218139,0.6885000009536744,0.005039081723696259,0.004439269658178091
lecun,relu,0.38965490074157716,1.8075808296203613,0.6459999985694885,1.741589102745056,0.6380000009536743,0.001396683903844983,0.001237708842381835
lecun,leaky_relu,0.385059974861145,1.8067984275817872,0.657000002861023,1.7317033586502075,0.6475000009536743,0.0013981451200304098,0.001238898141309619
xavier,sigmoid,2.309853652191162,2.3184277572631835,0.09400000035762787,2.3168358840942385,0.09999999988079071,3.4664162263335228e-06,0.0025376651901751757
xavier,tanh,0.31013375787734987,1.2458907070159913,0.6990000028610229,1.2387193937301635,0.6920000009536743,0.005632839751917081,0.006244848016649485
xavier,relu,0.37822405309677126,1.4231167545318604,0.6769999980926513,1.3726618285179137,0.6735000004768371,0.002016898487285076,0.0023906566202640533
xavier,leaky_relu,0.3729356244087219,1.481851303100586,0.6819999995231628,1.410129403591156,0.6815000009536744,0.0020224306374632783,0.0023957225494086742
he,sigmoid,2.3096088607788086,2.3190293464660643,0.09400000035762787,2.3174259338378906,0.09999999988079071,1.6215910296675884e-05,0.002839257474988699
he,tanh,0.22342936096191407,1.3369157991409302,0.7180000009536743,1.3291266593933106,0.6940000009536743,0.011912900056768759,0.008991063572466373
he,relu,0.25637501010894775,1.919175428390503,0.6719999980926513,1.821960705280304,0.6665000009536743,0.02753935893583239,0.0457133948802948
he,leaky_relu,0.25800003685951234,2.6914309043884277,0.6240000023841857,2.5785315685272217,0.634,0.027928211781172257,0.04581025615334511
