scheme,n_seeds,test_acc_mean,test_acc_std,grad_rms_layer1_mean,grad_rms_layer1_std
xavier,5,0.6905000002861023,0.04698670050089775,0.0004173974052955953,6.179143047316374e-05
he,5,0.7052000002861023,0.05740274378265622,0.015337363861037578,0.0034584195851804812
